Artist(s),Track Name,Album,Release Date,ISRC,Spotify URL,Spotify URI,Added At
Djo,End of Beginning,,,,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,
Malcolm Todd,Earrings,,,,https://open.spotify.com/track/0eAuGrXyGFYwur9ARUe7LJ,spotify:track:0eAuGrXyGFYwur9ARUe7LJ,
"Lil Peep, rainy bear",nuts,,,,https://open.spotify.com/track/4k3xDpAdBuM17mNNHhOZkK,spotify:track:4k3xDpAdBuM17mNNHhOZkK,
"EsDeeKid, Rico Ace",Mist,,,,https://open.spotify.com/track/2NLOyWzztMiW5FmNhD83K6,spotify:track:2NLOyWzztMiW5FmNhD83K6,
pupsies,misery.,,,,https://open.spotify.com/track/6De8sirPzVyAoBDlQpcutY,spotify:track:6De8sirPzVyAoBDlQpcutY,
Childish Gambino,Heartbeat,,,,https://open.spotify.com/track/5AGQSF0ytihJyt96K5vW9d,spotify:track:5AGQSF0ytihJyt96K5vW9d,
"Rae Sremmurd, Gucci Mane",Black Beatles,,,,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,spotify:track:6fujklziTHa8uoM5OQSfIo,
2hollis,crush,,,,https://open.spotify.com/track/2h7vLf7jv2KsRb7fV77w5H,spotify:track:2h7vLf7jv2KsRb7fV77w5H,
PIXY,LEGACY,,,,https://open.spotify.com/track/2jwpT2tPlP8HYVpFXfZMqM,spotify:track:2jwpT2tPlP8HYVpFXfZMqM,
"TAKETAKE, GATASKI",baby my type,,,,https://open.spotify.com/track/7nqEn1KoMfA7HzyBo3ePL8,spotify:track:7nqEn1KoMfA7HzyBo3ePL8,
lightprey,целоваться,,,,https://open.spotify.com/track/2UqlmIBAURsHt13ArF16YI,spotify:track:2UqlmIBAURsHt13ArF16YI,
Fetty Wap,Trap Queen,,,,https://open.spotify.com/track/2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,
"Lil Wayne, Drake, Future",Love Me,,,,https://open.spotify.com/track/2XHzzp1j4IfTNp1FTn7YFg,spotify:track:2XHzzp1j4IfTNp1FTn7YFg,
Temper City,Self Aware,,,,https://open.spotify.com/track/4qW3BbQAwZsrnu8a3ZRdyT,spotify:track:4qW3BbQAwZsrnu8a3ZRdyT,
Lil Nas X,HOTBOX,,,,https://open.spotify.com/track/398rCeBrqZr360MpS6EXE9,spotify:track:398rCeBrqZr360MpS6EXE9,
"Lex Amarni, 2muchmotion",the kill 2,,,,https://open.spotify.com/track/7MZyREIMPkgc7v5vzCGw87,spotify:track:7MZyREIMPkgc7v5vzCGw87,
"Fat Papi, prodshushy",FREAKED OUT,,,,https://open.spotify.com/track/7pBzCp7qNLlsH6rzEFkSwN,spotify:track:7pBzCp7qNLlsH6rzEFkSwN,
"Buckshot, fakemink",Fever,,,,https://open.spotify.com/track/09xhawlPUifhftf8zuie7w,spotify:track:09xhawlPUifhftf8zuie7w,
Kai Angel,andy warhol,,,,https://open.spotify.com/track/2fZUqNHa6gSskIpsMA6Nuq,spotify:track:2fZUqNHa6gSskIpsMA6Nuq,
twentythree,Queen St,,,,https://open.spotify.com/track/4TFOpl0juiBGT5VTHlrige,spotify:track:4TFOpl0juiBGT5VTHlrige,
The Neighbourhood,Softcore,,,,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha,spotify:track:2K7xn816oNHJZ0aVqdQsha,
Chase Atlantic,Swim,,,,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx,spotify:track:3M0lSi5WW79CXQamgSBIjx,
тёмный принц,овердоз,,,,https://open.spotify.com/track/6oQ3B198ElQsJD2YZDIRkX,spotify:track:6oQ3B198ElQsJD2YZDIRkX,
